contrast	name	fdr_threshold	dge_database	dge_db_table	dge_plot_database	dge_plot_db_table	dge_plot_rows	dge_full_rows
CD_Rectum_vs_UC_Colon	CD Rectum vs UC Colon	4.11132035772059e-08	host/db/dge/CD_Rectum_vs_UC_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_UC_Ileum_No	CD Rectum vs UC Ileum No	5.52944550591908e-25	host/db/dge/CD_Rectum_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4997	68391
CD_Rectum_vs_UC_Ileum	CD Rectum vs UC Ileum	2.6363382538179e-18	host/db/dge/CD_Rectum_vs_UC_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_UC_Rectum	CD Rectum vs UC Rectum	0.1	host/db/dge/CD_Rectum_vs_UC_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Rectum.sqlite.gz	host_dge_plot	4787	68391
CD_Rectum_vs_UC_Sigmoid	CD Rectum vs UC Sigmoid	0.0289005789262759	host/db/dge/CD_Rectum_vs_UC_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Sigmoid.sqlite.gz	host_dge_plot	4998	68391
CD_Rectum_vs_UC_Transverse	CD Rectum vs UC Transverse	0.0299779458802252	host/db/dge/CD_Rectum_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_CD_Cecum	CD Sigmoid vs CD Cecum	0.1	host/db/dge/CD_Sigmoid_vs_CD_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Cecum.sqlite.gz	host_dge_plot	4273	68391
CD_Sigmoid_vs_CD_Colon	CD Sigmoid vs CD Colon	2.05619713014284e-05	host/db/dge/CD_Sigmoid_vs_CD_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Colon.sqlite.gz	host_dge_plot	4998	68391
CD_Sigmoid_vs_CD_Ileum_No	CD Sigmoid vs CD Ileum No	1.47269465489184e-24	host/db/dge/CD_Sigmoid_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4997	68391
CD_Sigmoid_vs_CD_Ileum	CD Sigmoid vs CD Ileum	1.86957195705612e-06	host/db/dge/CD_Sigmoid_vs_CD_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_CD_Rectum	CD Sigmoid vs CD Rectum	0.1	host/db/dge/CD_Sigmoid_vs_CD_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Rectum.sqlite.gz	host_dge_plot	4825	68391
CD_Sigmoid_vs_CD_Transverse	CD Sigmoid vs CD Transverse	0.1	host/db/dge/CD_Sigmoid_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_CD_Transverse.sqlite.gz	host_dge_plot	4046	68391
CD_Sigmoid_vs_Healthy_Cecum	CD Sigmoid vs Healthy Cecum	0.0550378373097142	host/db/dge/CD_Sigmoid_vs_Healthy_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_Healthy_Colon	CD Sigmoid vs Healthy Colon	1.46599393680138e-13	host/db/dge/CD_Sigmoid_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_Healthy_Ileum_No	CD Sigmoid vs Healthy Ileum No	1.41040321141847e-13	host/db/dge/CD_Sigmoid_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_Healthy_Ileum	CD Sigmoid vs Healthy Ileum	7.37282086767908e-07	host/db/dge/CD_Sigmoid_vs_Healthy_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_Healthy_Rectum	CD Sigmoid vs Healthy Rectum	0.010943204729874	host/db/dge/CD_Sigmoid_vs_Healthy_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Rectum.sqlite.gz	host_dge_plot	4998	68391
CD_Sigmoid_vs_Healthy_Sigmoid	CD Sigmoid vs Healthy Sigmoid	0.1	host/db/dge/CD_Sigmoid_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	3646	68391
CD_Sigmoid_vs_UC_Cecum	CD Sigmoid vs UC Cecum	0.0780352054142672	host/db/dge/CD_Sigmoid_vs_UC_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Colon	CD Sigmoid vs UC Colon	0.000256171105398056	host/db/dge/CD_Sigmoid_vs_UC_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Ileum_No	CD Sigmoid vs UC Ileum No	2.14184953944815e-16	host/db/dge/CD_Sigmoid_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Ileum	CD Sigmoid vs UC Ileum	4.61422011186543e-07	host/db/dge/CD_Sigmoid_vs_UC_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Rectum	CD Sigmoid vs UC Rectum	0.0690521637922753	host/db/dge/CD_Sigmoid_vs_UC_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Rectum.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Sigmoid	CD Sigmoid vs UC Sigmoid	0.0259505968359189	host/db/dge/CD_Sigmoid_vs_UC_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Sigmoid.sqlite.gz	host_dge_plot	4999	68391
CD_Sigmoid_vs_UC_Transverse	CD Sigmoid vs UC Transverse	0.1	host/db/dge/CD_Sigmoid_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Sigmoid_vs_UC_Transverse.sqlite.gz	host_dge_plot	4111	68391
CD_Transverse_vs_CD_Ileum_No	CD Transverse vs CD Ileum No	6.11090138034572e-17	host/db/dge/CD_Transverse_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
